/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-18 14:47:41:620 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-18 14:47:51:566 10 sec: 74 operations; 7.4 current ops/sec; est completion in 22 minutes [READ: Count=45, Max=238591, Min=48832, Avg=96425.24, 90=185343, 99=238591, 99.9=238591, 99.99=238591] [UPDATE: Count=29, Max=284671, Min=88704, Avg=172591.45, 90=234367, 99=284671, 99.9=284671, 99.99=284671] 
2021-09-18 14:48:01:566 20 sec: 164 operations; 9 current ops/sec; est completion in 20 minutes [READ: Count=51, Max=205951, Min=47648, Avg=88597.33, 90=121727, 99=179839, 99.9=205951, 99.99=205951] [UPDATE: Count=39, Max=201599, Min=74176, Avg=140104.21, 90=195583, 99=201599, 99.9=201599, 99.99=201599] 
2021-09-18 14:48:11:566 30 sec: 208 operations; 4.4 current ops/sec; est completion in 23 minutes [READ: Count=23, Max=188927, Min=47072, Avg=92843.83, 90=175871, 99=188927, 99.9=188927, 99.99=188927] [UPDATE: Count=21, Max=5029887, Min=83072, Avg=369574.1, 90=185727, 99=5029887, 99.9=5029887, 99.99=5029887] 
2021-09-18 14:48:21:566 40 sec: 266 operations; 5.8 current ops/sec; est completion in 24 minutes [READ: Count=27, Max=182143, Min=48704, Avg=82030.22, 90=104447, 99=182143, 99.9=182143, 99.99=182143] [UPDATE: Count=31, Max=3592191, Min=86208, Avg=254061.42, 90=197631, 99=3592191, 99.9=3592191, 99.99=3592191] 
2021-09-18 14:48:31:566 50 sec: 341 operations; 7.5 current ops/sec; est completion in 23 minutes [READ: Count=42, Max=117631, Min=46848, Avg=73036.57, 90=103807, 99=117631, 99.9=117631, 99.99=117631] [UPDATE: Count=33, Max=2174975, Min=53248, Avg=194241.45, 90=196863, 99=2174975, 99.9=2174975, 99.99=2174975] 
2021-09-18 14:48:41:566 60 sec: 414 operations; 7.3 current ops/sec; est completion in 23 minutes [READ: Count=35, Max=199039, Min=45568, Avg=81941.03, 90=103551, 99=199039, 99.9=199039, 99.99=199039] [UPDATE: Count=38, Max=2961407, Min=80384, Avg=199456.84, 90=189823, 99=2961407, 99.9=2961407, 99.99=2961407] 
2021-09-18 14:48:51:566 70 sec: 435 operations; 2.1 current ops/sec; est completion in 25 minutes [READ: Count=12, Max=90815, Min=47648, Avg=63433.33, 90=89023, 99=90815, 99.9=90815, 99.99=90815] [UPDATE: Count=9, Max=1156095, Min=80448, Avg=261226.67, 90=185471, 99=1156095, 99.9=1156095, 99.99=1156095] 
2021-09-18 14:49:01:566 80 sec: 495 operations; 6 current ops/sec; est completion in 25 minutes [READ: Count=34, Max=161407, Min=46560, Avg=84184.94, 90=121087, 99=161407, 99.9=161407, 99.99=161407] [UPDATE: Count=26, Max=10551295, Min=76160, Avg=539344, 90=191743, 99=10551295, 99.9=10551295, 99.99=10551295] 
2021-09-18 14:49:11:566 90 sec: 534 operations; 3.9 current ops/sec; est completion in 26 minutes [READ: Count=20, Max=151167, Min=46752, Avg=84390.4, 90=115967, 99=151167, 99.9=151167, 99.99=151167] [UPDATE: Count=19, Max=5734399, Min=105920, Avg=433596.63, 90=157311, 99=5734399, 99.9=5734399, 99.99=5734399] 
2021-09-18 14:49:21:566 100 sec: 580 operations; 4.6 current ops/sec; est completion in 27 minutes [READ: Count=25, Max=195071, Min=45504, Avg=85623.04, 90=119679, 99=195071, 99.9=195071, 99.99=195071] [UPDATE: Count=21, Max=4857855, Min=75008, Avg=378825.14, 90=197247, 99=4857855, 99.9=4857855, 99.99=4857855] 
2021-09-18 14:49:31:566 110 sec: 607 operations; 2.7 current ops/sec; est completion in 28 minutes [READ: Count=15, Max=152063, Min=48096, Avg=90113.07, 90=114687, 99=152063, 99.9=152063, 99.99=152063] [UPDATE: Count=12, Max=142079, Min=46816, Avg=93774.67, 90=134399, 99=142079, 99.9=142079, 99.99=142079] 
2021-09-18 14:49:41:566 120 sec: 632 operations; 2.5 current ops/sec; est completion in 29 minutes [READ: Count=11, Max=103423, Min=48352, Avg=75694.55, 90=91007, 99=103423, 99.9=103423, 99.99=103423] [UPDATE: Count=14, Max=14663679, Min=86912, Avg=1186208, 90=202751, 99=14663679, 99.9=14663679, 99.99=14663679] 
2021-09-18 14:49:51:566 130 sec: 674 operations; 4.2 current ops/sec; est completion in 29 minutes [READ: Count=22, Max=176511, Min=47040, Avg=77869.82, 90=96127, 99=176511, 99.9=176511, 99.99=176511] [UPDATE: Count=20, Max=203775, Min=79168, Avg=140019.2, 90=192255, 99=203775, 99.9=203775, 99.99=203775] 
2021-09-18 14:50:01:566 140 sec: 674 operations; 0 current ops/sec; est completion in 32 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 14:50:11:566 150 sec: 695 operations; 2.1 current ops/sec; est completion in 33 minutes [READ: Count=7, Max=127167, Min=84416, Avg=99798.86, 90=122879, 99=127167, 99.9=127167, 99.99=127167] [UPDATE: Count=14, Max=23068671, Min=86080, Avg=1775469.71, 90=196351, 99=23068671, 99.9=23068671, 99.99=23068671] 
2021-09-18 14:50:21:566 160 sec: 785 operations; 9 current ops/sec; est completion in 31 minutes [READ: Count=41, Max=173567, Min=47488, Avg=87779.9, 90=134271, 99=173567, 99.9=173567, 99.99=173567] [UPDATE: Count=49, Max=204415, Min=47744, Avg=130512.98, 90=191999, 99=204415, 99.9=204415, 99.99=204415] 
2021-09-18 14:50:31:566 170 sec: 813 operations; 2.8 current ops/sec; est completion in 32 minutes [READ: Count=13, Max=104255, Min=48896, Avg=85854.77, 90=97599, 99=104255, 99.9=104255, 99.99=104255] [UPDATE: Count=15, Max=5230591, Min=81792, Avg=469806.93, 90=194303, 99=5230591, 99.9=5230591, 99.99=5230591] 
2021-09-18 14:50:41:566 180 sec: 869 operations; 5.6 current ops/sec; est completion in 31 minutes [READ: Count=27, Max=147967, Min=47456, Avg=81189.33, 90=102591, 99=147967, 99.9=147967, 99.99=147967] [UPDATE: Count=29, Max=5992447, Min=82048, Avg=329934.34, 90=197247, 99=5992447, 99.9=5992447, 99.99=5992447] 
2021-09-18 14:50:51:566 190 sec: 954 operations; 8.5 current ops/sec; est completion in 30 minutes [READ: Count=43, Max=149503, Min=46240, Avg=73467.53, 90=100415, 99=149503, 99.9=149503, 99.99=149503] [UPDATE: Count=42, Max=200191, Min=83072, Avg=146249.9, 90=193023, 99=200191, 99.9=200191, 99.99=200191] 
2021-09-18 14:51:01:566 200 sec: 990 operations; 3.6 current ops/sec; est completion in 30 minutes [READ: Count=28, Max=137471, Min=46624, Avg=74496, 90=106623, 99=137471, 99.9=137471, 99.99=137471] [UPDATE: Count=8, Max=1882111, Min=85888, Avg=339432, 90=141823, 99=1882111, 99.9=1882111, 99.99=1882111] 
2021-09-18 14:51:11:566 210 sec: 1012 operations; 2.2 current ops/sec; est completion in 31 minutes [READ: Count=10, Max=13746175, Min=49248, Avg=1440705.6, 90=105855, 99=13746175, 99.9=13746175, 99.99=13746175] [UPDATE: Count=12, Max=203263, Min=84736, Avg=128650.67, 90=188159, 99=203263, 99.9=203263, 99.99=203263] 
2021-09-18 14:51:21:566 220 sec: 1102 operations; 9 current ops/sec; est completion in 29 minutes [READ: Count=46, Max=173567, Min=46592, Avg=82873.74, 90=113279, 99=173567, 99.9=173567, 99.99=173567] [UPDATE: Count=44, Max=205311, Min=77056, Avg=138164.36, 90=193663, 99=205311, 99.9=205311, 99.99=205311] 
2021-09-18 14:51:31:566 230 sec: 1157 operations; 5.5 current ops/sec; est completion in 29 minutes [READ: Count=27, Max=173183, Min=47744, Avg=83025.78, 90=121727, 99=173183, 99.9=173183, 99.99=173183] [UPDATE: Count=28, Max=630783, Min=47264, Avg=157122.86, 90=188287, 99=630783, 99.9=630783, 99.99=630783] 
2021-09-18 14:51:41:566 240 sec: 1199 operations; 4.2 current ops/sec; est completion in 29 minutes [READ: Count=18, Max=190591, Min=48032, Avg=90300.44, 90=115711, 99=190591, 99.9=190591, 99.99=190591] [UPDATE: Count=24, Max=8036351, Min=76096, Avg=454673.33, 90=191231, 99=8036351, 99.9=8036351, 99.99=8036351] 
2021-09-18 14:51:51:566 250 sec: 1199 operations; 0 current ops/sec; est completion in 30 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 14:52:01:566 260 sec: 1229 operations; 3 current ops/sec; est completion in 30 minutes [READ: Count=15, Max=131839, Min=45760, Avg=73015.47, 90=107583, 99=131839, 99.9=131839, 99.99=131839] [UPDATE: Count=15, Max=12443647, Min=86912, Avg=1316369.07, 90=5328895, 99=12443647, 99.9=12443647, 99.99=12443647] 
2021-09-18 14:52:11:566 270 sec: 1290 operations; 6.1 current ops/sec; est completion in 30 minutes [READ: Count=31, Max=173823, Min=47648, Avg=86616.77, 90=119231, 99=173823, 99.9=173823, 99.99=173823] [UPDATE: Count=30, Max=3201023, Min=80128, Avg=245634.13, 90=196095, 99=3201023, 99.9=3201023, 99.99=3201023] 
2021-09-18 14:52:21:566 280 sec: 1379 operations; 8.9 current ops/sec; est completion in 29 minutes [READ: Count=39, Max=186367, Min=47808, Avg=85550.36, 90=112575, 99=186367, 99.9=186367, 99.99=186367] [UPDATE: Count=51, Max=209279, Min=47968, Avg=131089.25, 90=189439, 99=203647, 99.9=209279, 99.99=209279] 
2021-09-18 14:52:31:566 290 sec: 1439 operations; 6 current ops/sec; est completion in 28 minutes [READ: Count=27, Max=148095, Min=47808, Avg=78306.37, 90=101567, 99=148095, 99.9=148095, 99.99=148095] [UPDATE: Count=32, Max=1669119, Min=76480, Avg=173567, 90=193023, 99=1669119, 99.9=1669119, 99.99=1669119] 
2021-09-18 14:52:41:566 300 sec: 1439 operations; 0 current ops/sec; est completion in 29 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 14:52:51:566 310 sec: 1485 operations; 4.6 current ops/sec; est completion in 29 minutes [READ: Count=24, Max=171007, Min=46976, Avg=77928, 90=88319, 99=171007, 99.9=171007, 99.99=171007] [UPDATE: Count=22, Max=17432575, Min=76032, Avg=927960.73, 90=193279, 99=17432575, 99.9=17432575, 99.99=17432575] 
2021-09-18 14:53:01:566 320 sec: 1557 operations; 7.2 current ops/sec; est completion in 28 minutes [READ: Count=38, Max=131583, Min=46528, Avg=72442.53, 90=92799, 99=131583, 99.9=131583, 99.99=131583] [UPDATE: Count=35, Max=1830911, Min=56416, Avg=207961.14, 90=197759, 99=1830911, 99.9=1830911, 99.99=1830911] 
2021-09-18 14:53:11:566 330 sec: 1653 operations; 9.6 current ops/sec; est completion in 27 minutes [READ: Count=55, Max=109567, Min=45728, Avg=80206.55, 90=99007, 99=109439, 99.9=109567, 99.99=109567] [UPDATE: Count=40, Max=201215, Min=54752, Avg=137358.8, 90=192639, 99=201215, 99.9=201215, 99.99=201215] 
2021-09-18 14:53:21:566 340 sec: 1735 operations; 8.2 current ops/sec; est completion in 27 minutes [READ: Count=50, Max=190847, Min=47808, Avg=75776, 90=89599, 99=190847, 99.9=190847, 99.99=190847] [UPDATE: Count=32, Max=2154495, Min=78208, Avg=192777, 90=184703, 99=2154495, 99.9=2154495, 99.99=2154495] 
2021-09-18 14:53:31:566 350 sec: 1769 operations; 3.4 current ops/sec; est completion in 27 minutes [READ: Count=18, Max=111423, Min=48928, Avg=81410.67, 90=89983, 99=111423, 99.9=111423, 99.99=111423] [UPDATE: Count=16, Max=213631, Min=81344, Avg=147530, 90=194431, 99=213631, 99.9=213631, 99.99=213631] 
2021-09-18 14:53:41:566 360 sec: 1831 operations; 6.2 current ops/sec; est completion in 26 minutes [READ: Count=26, Max=198527, Min=46048, Avg=92104, 90=163583, 99=198527, 99.9=198527, 99.99=198527] [UPDATE: Count=36, Max=8773631, Min=71744, Avg=384067.56, 90=190847, 99=8773631, 99.9=8773631, 99.99=8773631] 
2021-09-18 14:53:51:566 370 sec: 1836 operations; 0.5 current ops/sec; est completion in 27 minutes [READ: Count=2, Max=86527, Min=86464, Avg=86496, 90=86527, 99=86527, 99.9=86527, 99.99=86527] [UPDATE: Count=3, Max=126207, Min=92480, Avg=103946.67, 90=126207, 99=126207, 99.9=126207, 99.99=126207] 
2021-09-18 14:54:01:566 380 sec: 1862 operations; 2.6 current ops/sec; est completion in 27 minutes [READ: Count=12, Max=158079, Min=48160, Avg=85849.33, 90=122879, 99=158079, 99.9=158079, 99.99=158079] [UPDATE: Count=14, Max=15654911, Min=82752, Avg=1258694.86, 90=196095, 99=15654911, 99.9=15654911, 99.99=15654911] 
2021-09-18 14:54:11:566 390 sec: 1918 operations; 5.6 current ops/sec; est completion in 27 minutes [READ: Count=31, Max=149759, Min=46112, Avg=76172.39, 90=91583, 99=149759, 99.9=149759, 99.99=149759] [UPDATE: Count=25, Max=2930687, Min=76032, Avg=255994.88, 90=204543, 99=2930687, 99.9=2930687, 99.99=2930687] 
2021-09-18 14:54:21:566 400 sec: 1956 operations; 3.8 current ops/sec; est completion in 27 minutes [READ: Count=21, Max=102015, Min=47776, Avg=74944, 90=96703, 99=102015, 99.9=102015, 99.99=102015] [UPDATE: Count=17, Max=8290303, Min=85696, Avg=619638.59, 90=187903, 99=8290303, 99.9=8290303, 99.99=8290303] 
2021-09-18 14:54:31:566 410 sec: 2003 operations; 4.7 current ops/sec; est completion in 27 minutes [READ: Count=26, Max=121983, Min=46720, Avg=76059.69, 90=102271, 99=121983, 99.9=121983, 99.99=121983] [UPDATE: Count=21, Max=5574655, Min=84864, Avg=382694.1, 90=188031, 99=5574655, 99.9=5574655, 99.99=5574655] 
2021-09-18 14:54:41:566 420 sec: 2048 operations; 4.5 current ops/sec; est completion in 27 minutes [READ: Count=22, Max=167423, Min=46752, Avg=79090.91, 90=93503, 99=167423, 99.9=167423, 99.99=167423] [UPDATE: Count=23, Max=5365759, Min=48352, Avg=356567.65, 90=196991, 99=5365759, 99.9=5365759, 99.99=5365759] 
2021-09-18 14:54:51:566 430 sec: 2146 operations; 9.8 current ops/sec; est completion in 26 minutes [READ: Count=52, Max=171135, Min=46112, Avg=77102.15, 90=100031, 99=157183, 99.9=171135, 99.99=171135] [UPDATE: Count=46, Max=194559, Min=50816, Avg=131285.91, 90=185727, 99=194559, 99.9=194559, 99.99=194559] 
2021-09-18 14:55:01:566 440 sec: 2202 operations; 5.6 current ops/sec; est completion in 25 minutes [READ: Count=23, Max=137855, Min=48032, Avg=75794.78, 90=88895, 99=137855, 99.9=137855, 99.99=137855] [UPDATE: Count=33, Max=213503, Min=46880, Avg=132193.94, 90=190591, 99=213503, 99.9=213503, 99.99=213503] 
2021-09-18 14:55:11:566 450 sec: 2226 operations; 2.4 current ops/sec; est completion in 26 minutes [READ: Count=10, Max=105343, Min=47776, Avg=79164.8, 90=98239, 99=105343, 99.9=105343, 99.99=105343] [UPDATE: Count=14, Max=9379839, Min=76288, Avg=816313.14, 90=194431, 99=9379839, 99.9=9379839, 99.99=9379839] 
2021-09-18 14:55:21:566 460 sec: 2226 operations; 0 current ops/sec; est completion in 26 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
